scenario,mpa_coverage,forecast_horizon,fishing_binary,fishing_hours,fishing_binary_bau,fishing_hours_bau,region,fishing_binary_delta,fishing_hours_delta_absolute,fishing_hours_delta,unprotected_effort,protected_effort,fraction_effort_protected
Sala et al. 2021 multi-objective,0.03,1,22881,52575751.175128266,22770,55565396.50501361,Global,0.004874835309617918,-2989645.329885341,-0.05380408523883364,37088357.01744534,14362755.537497891,0.27915344925069013
Sala et al. 2021 multi-objective,0.03,2,22768,51398282.701948725,22689,54774230.579388835,Global,0.003481863458063379,-3375947.87744011,-0.061633871288197625,37088357.01744534,14362755.537497891,0.27915344925069013
Sala et al. 2021 multi-objective,0.03,3,22665,49117110.25102313,22560,55366811.6890382,Global,0.004654255319148936,-6249701.438015074,-0.11287811682413385,37088357.01744534,14362755.537497891,0.27915344925069013
Sala et al. 2021 multi-objective,0.05,1,22836,51000015.94554547,22770,55565396.505013466,Global,0.002898550724637681,-4565380.559467994,-0.08216229608036858,29844010.14191652,21607102.413026724,0.41995403675582493
Sala et al. 2021 multi-objective,0.05,2,22736,49544164.711635344,22689,54774230.5793887,Global,0.0020714883864427695,-5230065.867753357,-0.09548405906264629,29844010.14191652,21607102.413026724,0.41995403675582493
Sala et al. 2021 multi-objective,0.05,3,22536,47067104.234641515,22560,55366811.68903866,Global,-0.0010638297872340426,-8299707.454397142,-0.14990401652548635,29844010.14191652,21607102.413026724,0.41995403675582493
Sala et al. 2021 multi-objective,0.1,1,22672,50250938.88886063,22770,55565396.50501356,Global,-0.004303908651734739,-5314457.616152935,-0.09564329511575466,26689446.702296183,24761665.85264704,0.4812658973351595
Sala et al. 2021 multi-objective,0.1,2,22560,48547850.80027435,22689,54774230.57938877,Global,-0.005685574507470581,-6226379.779114418,-0.11367352335675472,26689446.702296183,24761665.85264704,0.4812658973351595
Sala et al. 2021 multi-objective,0.1,3,22211,46064837.166084774,22560,55366811.68903869,Global,-0.015469858156028369,-9301974.522953913,-0.16800632435180446,26689446.702296183,24761665.85264704,0.4812658973351595
Sala et al. 2021 multi-objective,0.16,1,22428,49761466.85446955,22770,55565396.505013525,Global,-0.015019762845849802,-5803929.650543973,-0.10445223134546154,25502304.74185529,25948807.813088104,0.5043391002551791
Sala et al. 2021 multi-objective,0.16,2,22235,47942410.63971918,22689,54774230.57938864,Global,-0.02000969632861739,-6831819.93966946,-0.12472689926273928,25502304.74185529,25948807.813088104,0.5043391002551791
Sala et al. 2021 multi-objective,0.16,3,21714,45343197.24613404,22560,55366811.68903878,Global,-0.0375,-10023614.44290474,-0.18104012380559673,25502304.74185529,25948807.813088104,0.5043391002551791
Sala et al. 2021 multi-objective,0.2,1,22110,49391144.77967199,22770,55565396.505013384,Global,-0.028985507246376812,-6174251.725341395,-0.11111684814098867,24574448.625148274,26876663.929795068,0.5223728427853559
Sala et al. 2021 multi-objective,0.2,2,21841,47472525.813459724,22689,54774230.579388596,Global,-0.037374939397946144,-7301704.765928872,-0.13330547391890676,24574448.625148274,26876663.929795068,0.5223728427853559
Sala et al. 2021 multi-objective,0.2,3,21234,44864894.27694272,22560,55366811.689038835,Global,-0.05877659574468085,-10501917.412096113,-0.18967892662988964,24574448.625148274,26876663.929795068,0.5223728427853559
Sala et al. 2021 multi-objective,0.3,1,21184,48954542.48779455,22770,55565396.50501346,Global,-0.06965305226174791,-6610854.01721891,-0.11897429754905893,23703621.659719795,27747490.895223536,0.5392981709694362
Sala et al. 2021 multi-objective,0.3,2,20821,47051211.684634276,22689,54774230.57938851,Global,-0.08233064480585306,-7723018.894754231,-0.14099730499291388,23703621.659719795,27747490.895223536,0.5392981709694362
Sala et al. 2021 multi-objective,0.3,3,20185,44348754.19152546,22560,55366811.689038604,Global,-0.10527482269503546,-11018057.497513145,-0.1990011192877569,23703621.659719795,27747490.895223536,0.5392981709694362
Sala et al. 2021 carbon,0.03,1,22852,52227839.27964202,22770,55565396.505013436,Global,0.00360122968818621,-3337557.225371413,-0.06006539024823262,34253367.9452408,17197744.609702494,0.33425408617427804
Sala et al. 2021 carbon,0.03,2,22753,51069740.637452014,22689,54774230.579388835,Global,0.0028207501432412183,-3704489.9419368207,-0.06763198501834902,34253367.9452408,17197744.609702494,0.33425408617427804
Sala et al. 2021 carbon,0.03,3,22658,48697442.66925002,22560,55366811.68903833,Global,0.004343971631205674,-6669369.01978831,-0.12045788472065351,34253367.9452408,17197744.609702494,0.33425408617427804
Sala et al. 2021 carbon,0.05,1,22875,50660066.13529915,22770,55565396.505013585,Global,0.00461133069828722,-4905330.3697144315,-0.08828030893780864,22985597.12756907,28465515.427374277,0.5532536424159278
Sala et al. 2021 carbon,0.05,2,22740,48932213.58508651,22689,54774230.579388686,Global,0.002247785270395346,-5842016.994302176,-0.10665630411430192,22985597.12756907,28465515.427374277,0.5532536424159278
Sala et al. 2021 carbon,0.05,3,22617,45066607.256836556,22560,55366811.68903873,Global,0.0025265957446808512,-10300204.432202175,-0.1860357155844927,22985597.12756907,28465515.427374277,0.5532536424159278
Sala et al. 2021 carbon,0.1,1,22755,48827777.110035904,22770,55565396.505013525,Global,-6.587615283267457e-4,-6737619.394977622,-0.1212556702329966,14556238.543520458,36894874.01142305,0.7170860294230533
Sala et al. 2021 carbon,0.1,2,22485,44759204.275566705,22689,54774230.5793886,Global,-0.008991141081581383,-10015026.303821899,-0.18284193493701995,14556238.543520458,36894874.01142305,0.7170860294230533
Sala et al. 2021 carbon,0.1,3,22113,38089246.33101557,22560,55366811.68903851,Global,-0.019813829787234043,-17277565.358022936,-0.312056353453409,14556238.543520458,36894874.01142305,0.7170860294230533
Sala et al. 2021 carbon,0.16,1,22206,48224459.70399107,22770,55565396.50501357,Global,-0.02476943346508564,-7340936.8010225,-0.13211346022447873,13469184.55933437,37981927.995609224,0.7382139298746766
Sala et al. 2021 carbon,0.16,2,21938,43376457.15538079,22689,54774230.579388574,Global,-0.03309973996209617,-11397773.42400778,-0.20808641770856273,13469184.55933437,37981927.995609224,0.7382139298746766
Sala et al. 2021 carbon,0.16,3,21400,37132586.36064317,22560,55366811.689038485,Global,-0.051418439716312055,-18234225.328395315,-0.32933493499329175,13469184.55933437,37981927.995609224,0.7382139298746766
Sala et al. 2021 carbon,0.2,1,21650,47998464.36905142,22770,55565396.50501363,Global,-0.049187527448397016,-7566932.135962211,-0.1361806558022033,12849380.260378283,38601732.29456523,0.7502604001680875
Sala et al. 2021 carbon,0.2,2,21369,42947919.27209049,22689,54774230.57938857,Global,-0.05817797170435013,-11826311.30729808,-0.21591013113652566,12849380.260378283,38601732.29456523,0.7502604001680875
Sala et al. 2021 carbon,0.2,3,20809,36578115.880221844,22560,55366811.68903852,Global,-0.07761524822695036,-18788695.80881668,-0.33934942677106417,12849380.260378283,38601732.29456523,0.7502604001680875
Sala et al. 2021 carbon,0.3,1,20175,47119243.477745,22770,55565396.50501361,Global,-0.11396574440052701,-8446153.02726861,-0.1520038289748643,11401921.964050189,40049190.59089327,0.7783930920468564
Sala et al. 2021 carbon,0.3,2,19707,41233149.78160532,22689,54774230.579388425,Global,-0.1314293269866455,-13541080.797783107,-0.24721626674713387,11401921.964050189,40049190.59089327,0.7783930920468564
Sala et al. 2021 carbon,0.3,3,19010,34917490.05455511,22560,55366811.689038455,Global,-0.1573581560283688,-20449321.634483345,-0.36934259009412873,11401921.964050189,40049190.59089327,0.7783930920468564
Sala et al. 2021 biodiversity,0.03,1,22861,54140516.431481466,22770,55565396.50501372,Global,0.003996486605182257,-1424880.0735322535,-0.02564329894422125,49354011.51858712,2097101.0363560163,0.040759099895392614
Sala et al. 2021 biodiversity,0.03,2,22763,53297442.19124776,22689,54774230.57938788,Global,0.0032614923531226587,-1476788.3881401196,-0.02696137166180205,49354011.51858712,2097101.0363560163,0.040759099895392614
Sala et al. 2021 biodiversity,0.03,3,22614,52123827.555640005,22560,55366811.689038105,Global,0.0023936170212765957,-3242984.1333981007,-0.05857270871243194,49354011.51858712,2097101.0363560163,0.040759099895392614
Sala et al. 2021 biodiversity,0.05,1,22847,52715669.01203222,22770,55565396.50501378,Global,0.003381642512077295,-2849727.4929815605,-0.05128601021904746,44629469.84923354,6821642.705709764,0.13258494067402546
Sala et al. 2021 biodiversity,0.05,2,22751,51445816.07891937,22689,54774230.57938814,Global,0.00273260170126493,-3328414.500468768,-0.06076606581711199,44629469.84923354,6821642.705709764,0.13258494067402546
Sala et al. 2021 biodiversity,0.05,3,22561,49400601.79101707,22560,55366811.68903815,Global,4.4326241134751776e-5,-5966209.89802108,-0.10775787364332386,44629469.84923354,6821642.705709764,0.13258494067402546
Sala et al. 2021 biodiversity,0.1,1,22690,50856206.78625823,22770,55565396.5050135,Global,-0.003513394817742644,-4709189.718755275,-0.08475040249789954,32173685.657262947,19277426.89768041,0.37467463657067723
Sala et al. 2021 biodiversity,0.1,2,22567,48868952.448842324,22689,54774230.579388775,Global,-0.0053770549605535725,-5905278.130546451,-0.10781124751697695,32173685.657262947,19277426.89768041,0.37467463657067723
Sala et al. 2021 biodiversity,0.1,3,22289,45748546.1426437,22560,55366811.68903861,Global,-0.01201241134751773,-9618265.546394914,-0.17371897085956126,32173685.657262947,19277426.89768041,0.37467463657067723
Sala et al. 2021 biodiversity,0.16,1,22408,48876655.72772412,22770,55565396.50501346,Global,-0.015898111550285463,-6688740.777289338,-0.12037601093489611,20804130.795137856,30646981.7598055,0.5956524599361842
Sala et al. 2021 biodiversity,0.16,2,22102,43312992.19788449,22689,54774230.57938885,Global,-0.02587156772004055,-11461238.381504357,-0.20924508222699048,20804130.795137856,30646981.7598055,0.5956524599361842
Sala et al. 2021 biodiversity,0.16,3,21529,38174456.328339875,22560,55366811.68903869,Global,-0.04570035460992908,-17192355.36069881,-0.31051734488988986,20804130.795137856,30646981.7598055,0.5956524599361842
Sala et al. 2021 biodiversity,0.2,1,22135,48193208.86627048,22770,55565396.50501342,Global,-0.027887571365832236,-7372187.638742939,-0.1326758756788099,15852435.810623065,35598676.74432014,0.691893235667262
Sala et al. 2021 biodiversity,0.2,2,21728,41975588.233412296,22689,54774230.57938863,Global,-0.04235532636960642,-12798642.345976338,-0.23366174587201644,15852435.810623065,35598676.74432014,0.691893235667262
Sala et al. 2021 biodiversity,0.2,3,21016,36280346.15572615,22560,55366811.689038694,Global,-0.06843971631205674,-19086465.533312544,-0.3447275534034626,15852435.810623065,35598676.74432014,0.691893235667262
Sala et al. 2021 biodiversity,0.3,1,20851,46961485.83789368,22770,55565396.50501348,Global,-0.08427755819060168,-8603910.667119801,-0.154842963576144,11240177.333081936,40210935.221861236,0.7815367486742124
Sala et al. 2021 biodiversity,0.3,2,20184,40637955.112349555,22689,54774230.57938866,Global,-0.11040592357530081,-14136275.467039108,-0.2580825931739977,11240177.333081936,40210935.221861236,0.7815367486742124
Sala et al. 2021 biodiversity,0.3,3,19225,34268105.53908691,22560,55366811.68903852,Global,-0.14782801418439717,-21098706.149951614,-0.3810713585685614,11240177.333081936,40210935.221861236,0.7815367486742124
Protecting most-fished pixels,0.03,1,22829,52234339.22651762,22770,55565396.505013414,Global,0.0025911286780852,-3331057.278495796,-0.05994841192567122,28040514.39388431,23410598.161058977,0.4550066460867958
Protecting most-fished pixels,0.03,2,22793,50806539.19092587,22689,54774230.579388805,Global,0.004583718982766979,-3967691.3884629384,-0.0724371907463353,28040514.39388431,23410598.161058977,0.4550066460867958
Protecting most-fished pixels,0.03,3,22651,47436156.25596062,22560,55366811.68903863,Global,0.004033687943262411,-7930655.433078006,-0.1432384345629224,28040514.39388431,23410598.161058977,0.4550066460867958
Protecting most-fished pixels,0.05,1,22849,50115137.89897685,22770,55565396.50501357,Global,0.003469477382520861,-5450258.606036723,-0.09808728001328948,15413625.416836323,36037487.13810703,0.7004219218704649
Protecting most-fished pixels,0.05,2,22733,46253964.34035621,22689,54774230.579388775,Global,0.0019392657234783375,-8520266.239032567,-0.15555245868188777,15413625.416836323,36037487.13810703,0.7004219218704649
Protecting most-fished pixels,0.05,3,22518,39868231.54319039,22560,55366811.689038604,Global,-0.0018617021276595746,-15498580.145848215,-0.27992545846588074,15413625.416836323,36037487.13810703,0.7004219218704649
Protecting most-fished pixels,0.1,1,22567,48145104.06207205,22770,55565396.50501361,Global,-0.00891523935002196,-7420292.442941554,-0.13354160880093835,9631251.535782399,41819861.01916104,0.8128077109023171
Protecting most-fished pixels,0.1,2,22232,42735842.270472676,22689,54774230.57938867,Global,-0.020141918991581825,-12038388.308915995,-0.21978197012676967,9631251.535782399,41819861.01916104,0.8128077109023171
Protecting most-fished pixels,0.1,3,22029,33296588.9941535,22560,55366811.6890383,Global,-0.02353723404255319,-22070222.6948848,-0.3986182700719668,9631251.535782399,41819861.01916104,0.8128077109023171
Protecting most-fished pixels,0.16,1,21902,46363092.58069958,22770,55565396.50501356,Global,-0.03812033377250768,-9202303.924313985,-0.16561213458602203,6857083.6141789965,44594028.94076439,0.8667262324627776
Protecting most-fished pixels,0.16,2,21128,40462036.276642196,22689,54774230.57938863,Global,-0.06879985896249284,-14312194.302746437,-0.261294301195206,6857083.6141789965,44594028.94076439,0.8667262324627776
Protecting most-fished pixels,0.16,3,21206,28748685.85976678,22560,55366811.68903838,Global,-0.060017730496453904,-26618125.8292716,-0.48075959256547734,6857083.6141789965,44594028.94076439,0.8667262324627776
Protecting most-fished pixels,0.2,1,21357,45505136.90064237,22770,55565396.50501388,Global,-0.06205533596837945,-10060259.60437151,-0.18105260174763144,5654688.164947139,45796424.38999626,0.8900959010573652
Protecting most-fished pixels,0.2,2,20253,39381432.61118951,22689,54774230.57938855,Global,-0.10736480232711887,-15392797.968199044,-0.28102262332811895,5654688.164947139,45796424.38999626,0.8900959010573652
Protecting most-fished pixels,0.2,3,20524,27155759.52596229,22560,55366811.689038336,Global,-0.09024822695035462,-28211052.163076047,-0.509530010893897,5654688.164947139,45796424.38999626,0.8900959010573652
Protecting most-fished pixels,0.3,1,19437,43869762.076629706,22770,55565396.505013935,Global,-0.1463768115942029,-11695634.42838423,-0.2104841351636693,3639681.825392069,47811430.72955127,0.9292594145266472
Protecting most-fished pixels,0.3,2,17552,37620657.05850434,22689,54774230.57938849,Global,-0.2264092732160959,-17153573.52088415,-0.3131686805900844,3639681.825392069,47811430.72955127,0.9292594145266472
Protecting most-fished pixels,0.3,3,18151,24905868.64746458,22560,55366811.68903821,Global,-0.19543439716312055,-30460943.04157363,-0.5501661033446221,3639681.825392069,47811430.72955127,0.9292594145266472
Protecting unfished pixels,0.03,1,33,1323.9891485944304,34,1652.1905316231403,"Inside
MPAs",-0.029411764705882353,-328.20138302870987,-0.19864620741185293,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,1,22018,53703337.32327291,21925,54171190.62557075,"Outside
MPAs",0.004241733181299886,-467853.30229783803,-0.008636570414920776,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,1,810,1377346.1845199612,811,1392553.6889113095,"Partial
MPA overlap",-0.0012330456226880395,-15207.504391348222,-0.010920587487895969,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,2,26,1493.8046388948562,30,1868.187239667764,"Inside
MPAs",-0.13333333333333333,-374.38260077290784,-0.20039886410929963,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,2,21950,53235448.15618866,21843,53421777.309970796,"Outside
MPAs",0.004898594515405393,-186329.15378213674,-0.0034878875837655765,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,2,818,1335591.895971236,816,1350585.0821777096,"Partial
MPA overlap",0.0024509803921568627,-14993.186206473503,-0.011101252638077565,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,3,38,1653.008198540324,41,2079.801255056114,"Inside
MPAs",-0.07317073170731707,-426.7930565157899,-0.2052085772514234,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,3,21815,53376301.00406824,21720,54018132.077517286,"Outside
MPAs",0.004373848987108656,-641831.0734490454,-0.011881770967718816,51380319.46369519,70793.09124796647,0.001375929260467761
Protecting unfished pixels,0.03,3,800,1329167.0252139624,799,1346599.8102655527,"Partial
MPA overlap",0.0012515644555694619,-17432.785051590297,-0.012945780118706916,51380319.46369519,70793.09124796647,0.001375929260467761
