variable_name,stage,contribution,mpa_feature_label,variable_name_code
Global Fishing Index governance capacity,Stage 1,0.005165571455018017,All other features,gfi_fisheries_governance_capacity
Global Fishing Index governance capacity,Stage 2,0.020272388768986505,All other features,gfi_fisheries_governance_capacity
Latitude,Stage 1,0.04696434782202874,All other features,lat
Latitude,Stage 2,0.09126350712991128,All other features,lat
Longitude,Stage 1,0.01643090477851465,All other features,lon
Longitude,Stage 2,0.15568900300346777,All other features,lon
Mesopelagic zone,Stage 1,0.02592380482273107,All other features,mesopelagic_zone
Mesopelagic zone,Stage 2,0.02554409514088259,All other features,mesopelagic_zone
Exclusive economic zone: nearest distance (m),Stage 1,0.008386042668370657,All other features,nearest_eez_distance_m
Exclusive economic zone: nearest distance (m),Stage 2,0.022811201490423864,All other features,nearest_eez_distance_m
Exclusive economic zone: nearest sovereign state,Stage 1,0.004677253119160437,All other features,nearest_eez_sovereign
Exclusive economic zone: nearest sovereign state,Stage 2,0.023456999901562994,All other features,nearest_eez_sovereign
Nearest MPA: distance (m),Stage 1,0.00740198673860594,MPA implementation feature,nearest_mpa_distance_m
Nearest MPA: distance (m),Stage 2,0.025942470463600563,MPA implementation feature,nearest_mpa_distance_m
Seamount: nearest distance (m),Stage 1,0.005621957956730418,All other features,nearest_seamount_distance_m
Seamount: nearest distance (m),Stage 2,0.024264449057179737,All other features,nearest_seamount_distance_m
Nearest MPA: years since designation (years),Stage 1,0.0054069290653254295,MPA implementation feature,nearest_years_since_mpa_designation
Nearest MPA: years since designation (years),Stage 2,0.025422338554545294,MPA implementation feature,nearest_years_since_mpa_designation
Ocean,Stage 1,0.007108082094154091,All other features,ocean
Ocean,Stage 2,0.022333705003793485,All other features,ocean
"MPA future coverage: inside, 1 year lead",Stage 1,0.008145632793860534,MPA implementation feature,one_year_before_full_mpa
"MPA future coverage: inside, 1 year lead",Stage 2,0.021962673887340012,MPA implementation feature,one_year_before_full_mpa
"MPA future coverage: partial, 1 year lead",Stage 1,0.008140286464169373,MPA implementation feature,one_year_before_partial_mpa
"MPA future coverage: partial, 1 year lead",Stage 2,0.022024995829733482,MPA implementation feature,one_year_before_partial_mpa
"Pacific Decadal Oscillation index, mean",Stage 1,0.006671510752548699,All other features,pdo_index_mean
"Pacific Decadal Oscillation index, mean",Stage 2,0.018199057896075718,All other features,pdo_index_mean
"Pacific Decadal Oscillation index, SD",Stage 1,0.007031409274367678,All other features,pdo_index_sd
"Pacific Decadal Oscillation index, SD",Stage 2,0.016414888320363318,All other features,pdo_index_sd
"MPA spatial coverage: inside, outside, or partial",Stage 1,0.007787185767273658,All other features,region
"MPA spatial coverage: inside, outside, or partial",Stage 2,0.021834783861190532,All other features,region
"Sea surface temperature, mean (degree C)",Stage 1,0.1013521769541323,All other features,sst_c_mean
"Sea surface temperature, mean (degree C)",Stage 2,0.14194291916979068,All other features,sst_c_mean
"Sea surface temperature, SD (degree C)",Stage 1,0.02104152851483753,All other features,sst_c_sd
"Sea surface temperature, SD (degree C)",Stage 2,0.03653349112003978,All other features,sst_c_sd
"MPA future coverage: inside, 2 year lead",Stage 1,0.008147115164628004,MPA implementation feature,two_years_before_full_mpa
"MPA future coverage: inside, 2 year lead",Stage 2,0.021960697134503337,MPA implementation feature,two_years_before_full_mpa
"MPA future coverage: partial, 2 year lead",Stage 1,0.008151191376193849,MPA implementation feature,two_years_before_partial_mpa
"MPA future coverage: partial, 2 year lead",Stage 2,0.021968868352079094,MPA implementation feature,two_years_before_partial_mpa
"Wind speed, mean (m/s)",Stage 1,0.01582384292789338,All other features,wind_speed_ms_mean
"Wind speed, mean (m/s)",Stage 2,0.04146185573155525,All other features,wind_speed_ms_mean
"Wind speed, SD (m/s)",Stage 1,0.010276462933468568,All other features,wind_speed_ms_sd
"Wind speed, SD (m/s)",Stage 2,0.036587301949510646,All other features,wind_speed_ms_sd
Year,Stage 1,0.006790409135280494,All other features,year
Year,Stage 2,0.02723201380928861,All other features,year
